Place ID,Place Name,Author,Author Rating,Date,Review Text
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,F. G.,2,2 ay önce,"Oy sayısı ve puana bakarak tercih ettik. Mekanın atmosferi, servis kalitesi, garson arkadaşların ilgisi muazzamdı. Çok çok memnun kaldık. Yine de üzülerek söylüyorum ki kocaman bir pürüz vardı. 5 porsiyon ana yemek söyledik: Patlıcan kebap, adana kebap, çökertme kebabı, alinazik kebap ve vejeteryan pide. İçeceklerle ve tatlı ile 8 bin TL civarı hesap ödedik. Patlıcan kebabın patlıcanları pişmemişti, katır kutur ses geliyordu, kabuğundan ayrılmıyordu. Çökertme kebabının patatesleri çıtır değildi, yumuşamıştı. Daha önce alinazik kebabını kuzu adanadan, kuzu şişten ve kıymadan yedim. İlk defa dana etinden yapılmış bir alinazik kebap yedik, tadını yavanlaştırmış, dana eti yakışmamıştı. Adana kebap da ehli kebapçılardaki gibi bulgurlanmıyordu, lezzetsizdi diyemem ama kebap kalıp halinde geldi, bulgurlanma hissini yaşatmadı. Tüm yemekler ılık geldi, kesinlikle sıcak değildi. Pide güzeldi. 20 bin kişiye yakın kişinin ortalaması nasıl 4,9 olmuş, anlamak mümkün değil. Çok iyi derecede karşılama ve servis kalitesine rağmen lezzet sınıfta kaldı, majör hatalar vardı. Fiyatları da bir tık yüksek buldum."
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,G. E.,5,bir ay önce,"Lize Hanım’a özellikle çok teşekkür ederiz. İlgisi, alakası ve yaklaşımı gerçekten çok güzeldi. Ortam, servis ve temizlik konusunda da oldukça başarılı bir işletme. Yemekler gayet güzeldi, emeği geçenlerin eline sağlık. Ancak fiyat-performans açısından beklentimin biraz altında kaldı. Buna rağmen Lize Hanım’ın desteği deneyimi daha keyifli hale getirdi."
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,S. D. H.,5,2 ay önce,"Garden 1897’te harika bir akşam geçirdik. Mekanın atmosferi çok keyifli, yemekler ise gerçekten lezzetliydi. Ama özellikle Kadir Bey’e ayrı bir teşekkür etmek istiyorum. Bizimle çok güzel ilgilendi, güler yüzü ve samimiyetiyle akşamımızı daha da özel hale getirdi. Hizmet kalitesi kesinlikle takdire değer. Tekrar gelmeyi düşünüyoruz, gönül rahatlığıyla tavsiye ederim."
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,N.,5,5 ay önce,"Tatlısından çayına, sosundan tereyağına bütün ikramlar iyiydi. Yemekler güzeldi ustaların eline sağlık. Yemeğin memnuniyeti personelin güleryüz ve samimi olan ilgileri ile artıyor. Çalışanların gerçek bir özverisi var. Bizimle ilgilenen Barış Bey'e teşekkürler.
Fiyat/performans açısından da hakkını verdiklerini düşünerek restorandan çıkacaksınız."
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,G. S.,5,6 ay önce,"Mekana girer girmez tüm personelin ilgisi, nezaketi ile memnun olmaya başlıyorsunuz
Gelelim yemeklere servis hızlı, yemekler lezzetli , çay ikram ☺️
Ve Barış Bey her masaya aynı özeni gösterip akşam boyunca güler yüzü ile salondaki herkesin memnun ayrılmasanı sağladı"
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,D.,5,bir ay önce,"Nice women called Esma help us to decide the dishes. 👌🙌
🇪🇦Increíble la poción de comida, al inicio sentí los precios un poco elevados pero vale la pena totalmente, Ingredientes frescos se siente el detalle en el emplatado, ambiente tranquilo , baños limpios, el personal es muy atento, me dieron té  de cortesía, todos muy amables, asientos cómodos.
🇺🇲Amazing food potion, at first I felt the prices a little high but it is totally worth it, Fresh ingredients feel the detail in the plating, quiet atmosphere, clean bathrooms, the staff is very attentive, they gave me complimentary tea, all very friendly, comfortable seats.
🇹🇷İnanılmaz yemek iksiri, ilk başta fiyatları biraz yüksek hissettim ama tamamen buna değer, Taze malzemeler kaplamadaki detayları hissediyor, sessiz atmosfer, temiz banyolar, personel çok dikkatli, bana ücretsiz çay verdiler, hepsi çok dost canlısı, rahat koltuklar."
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,Y. E. S.,4,bir ay önce,"Et döner denedik, lezzet açısından fena değildi yanında getirilen mezeler çok güzeldi. Fiyatlar biraz yüksek, genel olarak pahalı bir bölge olduğu için kabul edilebilir. En üst terasta güzel bir manzara mevcut."
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,H. D.,5,2 hafta önce,"Tarihi yarım adada tavsiye üzerine gittiğim bir işletmeydi. Lahmacunu özellikle belirtmeliyim ki çok lezzetliydi. Döner lezzetliydi ve porsiyonu bol bir şekilde sunum yapıldı. Mezeler lezzetliydi. Garsonlar ilgiliydi. Beğendim, tavsiye ederim."
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,S. S.,5,9 ay önce,"Ridvan our server was welcoming, friendly and his recommendations were excellent ! delicious, flavorful & fresh thank you  🇨🇦❤️🇹🇷

Garsonumuz Ridvan çok misafirperver ve cana yakındı, önerileri de mükemmeldi! Lezzetli, aromalı ve tazeydi, teşekkürler 🇨🇦❤️🇹🇷"
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,K. K.,5,3 ay önce,Temiz güleryüz bol hizmetli bir Kebab salonu ellerine sağlık yapanların ama Mehmet abinin kan rengi çayı hepsinden güzel idi. Bir Türk olarak kalbimizi fetheden çay oldu. Mehmet abi ellerine sağlık 🥰❤️ tüm personele teşekkür ederiz. Canlı Kanun dinletisi içinde teşekkür ederiz. İkram baklava geldi bu işletmemiz daha ne yapsın 🥰
