Place ID,Place Name,City,Category,Address,Latitude,Longitude,Types,Average Rating,Total Review Count,Price Level
ChIJEYH7W9a5yhQRezfLJzGgnQI,Garden 1897 Restaurant,İstanbul,Restaurant,"Inside of Garden House Hotel, Küçük Ayasofya, Şht. Mehmetpaşa Sok. No5, 34122 Fatih/İstanbul, Türkiye",41.0040252,28.9725597,"restaurant, food, point_of_interest, establishment",4.9,20996.0,PRICE_LEVEL_MODERATE
ChIJnXNX4Ly5yhQR-QKvTThJM_w,Turgut Kebab Restaurant -Sultanahmet-,İstanbul,Restaurant,"Sultan Ahmet, Akbıyık Cd. No:64, 34122 Fatih/İstanbul, Türkiye",41.004723,28.979098,"turkish_restaurant, live_music_venue, kebab_shop, event_venue, restaurant, food, point_of_interest, establishment",4.8,27072.0,PRICE_LEVEL_INEXPENSIVE
ChIJG2RjnWy5yhQRZj8hMugPem0,Hidden Garden Restaurant Sultanahmet,İstanbul,Restaurant,"Binbirdirek, Peykhane Sok. No: 14/A, 34122 Fatih/İstanbul, Türkiye",41.006749,28.972428200000003,"restaurant, fusion_restaurant, greek_restaurant, family_restaurant, turkish_restaurant, barbecue_restaurant, seafood_restaurant, vegetarian_restaurant, kebab_shop, italian_restaurant, food, point_of_interest, establishment",4.9,20760.0,PRICE_LEVEL_MODERATE
ChIJsYslLXe5yhQRxkEC4RsjM-s,Luco Restaurant Rooftop Sirkeci,İstanbul,Restaurant,"Hoca Paşa, Ebussuud Cd. No:21, 34112 Fatih/İstanbul, Türkiye",41.0126627,28.9769354,"restaurant, seafood_restaurant, food, point_of_interest, establishment",4.9,2533.0,PRICE_LEVEL_EXPENSIVE
ChIJeyzSOYS5yhQRZGbHU6N19lI,Hanzade Bosphorus Restaurant,İstanbul,Restaurant,"Hoca Paşa, İstasyon Arkası Sk. No:37, 34110 Fatih, Hoca Paşa, 34110 sirkeci/İstanbul, Türkiye",41.0146464,28.976796,"turkish_restaurant, restaurant, food, point_of_interest, establishment",4.8,17686.0,PRICE_LEVEL_MODERATE
ChIJ80p3Cqu5yhQRbH543PljQvc,Old İstanbul Rooftop Mezze & Seafood Restaurant,İstanbul,Restaurant,"Hoca Paşa, Orhaniye Cd. No:7,34845, 34134 Fatih/İstanbul, Türkiye",41.0136176,28.9761973,"seafood_restaurant, mediterranean_restaurant, turkish_restaurant, european_restaurant, restaurant, food, point_of_interest, establishment",4.9,1975.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJOfYsum63yhQRxUqTS28a14c,Gönen Rooftop Ocakbaşı Terrace Restaurant & Roof Bar,İstanbul,Restaurant,"Kocatepe, Aydede Cd. No:15 Kat:11, 34437 Beyoğlu/İstanbul, Türkiye",41.0385356,28.983932,"restaurant, food, point_of_interest, establishment",4.8,2456.0,PRICE_LEVEL_EXPENSIVE
ChIJ4Vx5oJC5yhQR0viQ_FbPh-w,Mivan Restaurant Cafe,İstanbul,Restaurant,"Emin Sinan, Piyer Loti Cd. No:34, 34130 Fatih/İstanbul, Türkiye",41.0062206,28.9690295,"restaurant, cafe, food, point_of_interest, establishment",4.9,8900.0,PRICE_LEVEL_MODERATE
ChIJkd5iPbm5yhQR33Gzz8z2vMU,Best View Rooftop Seafood & Steak,İstanbul,Restaurant,"Küçük Ayasofya, Aksakal Sokağı No:23, 34122 Fatih/İstanbul, Türkiye",41.0027094,28.9737908,"seafood_restaurant, steak_house, restaurant, food, point_of_interest, establishment",4.9,885.0,PRICE_LEVEL_EXPENSIVE
ChIJhaLwkhu5yhQRdUVPODgtm0w,Old İstanbul Ottoman Cuisine,İstanbul,Restaurant,"prof.dr, Alemdar, Prof. Kazım İsmail Gürkan Cd. no:6, 34360 Fatih/İstanbul, Türkiye",41.010010300000005,28.9762434,"restaurant, turkish_restaurant, seafood_restaurant, bar, kebab_shop, food, point_of_interest, establishment",5.0,861.0,PRICE_LEVEL_EXPENSIVE
